K,kept,attempts,skipped_ties,preferred_success_rate,rejected_success_rate,tie_fraction,seed
50,50,263,213,1.0,0.0,0.8098859315589354,0
100,100,387,287,1.0,0.0,0.7416020671834626,0
200,200,1024,824,1.0,0.0,0.8046875,0
500,500,2232,1732,1.0,0.0,0.7759856630824373,0
50,50,278,228,1.0,0.0,0.8201438848920863,1
100,100,477,377,1.0,0.0,0.790356394129979,1
200,200,948,748,1.0,0.0,0.7890295358649789,1
500,500,2205,1705,1.0,0.0,0.7732426303854876,1
50,50,230,180,1.0,0.0,0.782608695652174,2
100,100,436,336,1.0,0.0,0.7706422018348624,2
200,200,791,591,1.0,0.0,0.7471554993678887,2
500,500,2255,1755,1.0,0.0,0.7782705099778271,2
